question_answer,question,a,operator,b ,solution
39 - 18 = 21,39 - 18,39,1,18,21
23 + 63 = 86,23 + 63,23,0,63,86
56 + 47 = 103,56 + 47,56,0,47,103
88 + 66 = 154,88 + 66,88,0,66,154
1 + 78 = 79,1 + 78,1,0,78,79
76 + 71 = 147,76 + 71,76,0,71,147
29 + 37 = 66,29 + 37,29,0,37,66
96 + 66 = 162,96 + 66,96,0,66,162
64 + 16 = 80,64 + 16,64,0,16,80
45 + 10 = 55,45 + 10,45,0,10,55
39 + 93 = 132,39 + 93,39,0,93,132
89 + 6 = 95,89 + 6,89,0,6,95
0 - 50 = -50,0 - 50,0,1,50,-50
94 + 72 = 166,94 + 72,94,0,72,166
66 + 12 = 78,66 + 12,66,0,12,78
99 - 29 = 70,99 - 29,99,1,29,70
4 - 79 = -75,4 - 79,4,1,79,-75
25 + 60 = 85,25 + 60,25,0,60,85
72 + 60 = 132,72 + 60,72,0,60,132
54 - 90 = -36,54 - 90,54,1,90,-36
79 - 74 = 5,79 - 74,79,1,74,5
82 + 39 = 121,82 + 39,82,0,39,121
60 - 31 = 29,60 - 31,60,1,31,29
45 - 85 = -40,45 - 85,45,1,85,-40
95 - 29 = 66,95 - 29,95,1,29,66
9 - 33 = -24,9 - 33,9,1,33,-24
72 - 98 = -26,72 - 98,72,1,98,-26
52 + 1 = 53,52 + 1,52,0,1,53
95 + 79 = 174,95 + 79,95,0,79,174
10 - 87 = -77,10 - 87,10,1,87,-77
24 + 44 = 68,24 + 44,24,0,44,68
2 - 45 = -43,2 - 45,2,1,45,-43
91 - 72 = 19,91 - 72,91,1,72,19
22 - 60 = -38,22 - 60,22,1,60,-38
94 - 13 = 81,94 - 13,94,1,13,81
83 + 35 = 118,83 + 35,83,0,35,118
34 - 87 = -53,34 - 87,34,1,87,-53
17 - 91 = -74,17 - 91,17,1,91,-74
87 + 9 = 96,87 + 9,87,0,9,96
62 - 26 = 36,62 - 26,62,1,26,36
60 + 88 = 148,60 + 88,60,0,88,148
42 + 82 = 124,42 + 82,42,0,82,124
82 - 36 = 46,82 - 36,82,1,36,46
71 + 43 = 114,71 + 43,71,0,43,114
3 - 23 = -20,3 - 23,3,1,23,-20
65 + 4 = 69,65 + 4,65,0,4,69
45 - 76 = -31,45 - 76,45,1,76,-31
75 - 32 = 43,75 - 32,75,1,32,43
1 + 30 = 31,1 + 30,1,0,30,31
58 - 68 = -10,58 - 68,58,1,68,-10
54 - 35 = 19,54 - 35,54,1,35,19
56 - 39 = 17,56 - 39,56,1,39,17
46 - 91 = -45,46 - 91,46,1,91,-45
55 - 40 = 15,55 - 40,55,1,40,15
72 + 13 = 85,72 + 13,72,0,13,85
24 - 56 = -32,24 - 56,24,1,56,-32
58 + 53 = 111,58 + 53,58,0,53,111
64 - 37 = 27,64 - 37,64,1,37,27
10 - 5 = 5,10 - 5,10,1,5,5
93 + 99 = 192,93 + 99,93,0,99,192
8 + 85 = 93,8 + 85,8,0,85,93
41 - 37 = 4,41 - 37,41,1,37,4
41 + 13 = 54,41 + 13,41,0,13,54
35 + 22 = 57,35 + 22,35,0,22,57
84 - 16 = 68,84 - 16,84,1,16,68
62 + 72 = 134,62 + 72,62,0,72,134
99 + 10 = 109,99 + 10,99,0,10,109
86 + 28 = 114,86 + 28,86,0,28,114
21 + 79 = 100,21 + 79,21,0,79,100
24 - 100 = -76,24 - 100,24,1,100,-76
22 - 29 = -7,22 - 29,22,1,29,-7
92 + 70 = 162,92 + 70,92,0,70,162
84 + 75 = 159,84 + 75,84,0,75,159
85 - 88 = -3,85 - 88,85,1,88,-3
30 + 82 = 112,30 + 82,30,0,82,112
36 - 79 = -43,36 - 79,36,1,79,-43
8 + 82 = 90,8 + 82,8,0,82,90
12 - 91 = -79,12 - 91,12,1,91,-79
54 - 7 = 47,54 - 7,54,1,7,47
47 + 65 = 112,47 + 65,47,0,65,112
15 - 77 = -62,15 - 77,15,1,77,-62
86 - 70 = 16,86 - 70,86,1,70,16
93 + 84 = 177,93 + 84,93,0,84,177
39 - 29 = 10,39 - 29,39,1,29,10
99 - 89 = 10,99 - 89,99,1,89,10
57 + 94 = 151,57 + 94,57,0,94,151
27 + 27 = 54,27 + 27,27,0,27,54
26 - 87 = -61,26 - 87,26,1,87,-61
80 + 28 = 108,80 + 28,80,0,28,108
9 + 96 = 105,9 + 96,9,0,96,105
10 + 83 = 93,10 + 83,10,0,83,93
83 - 31 = 52,83 - 31,83,1,31,52
23 + 39 = 62,23 + 39,23,0,39,62
73 - 65 = 8,73 - 65,73,1,65,8
30 + 47 = 77,30 + 47,30,0,47,77
70 + 10 = 80,70 + 10,70,0,10,80
19 + 53 = 72,19 + 53,19,0,53,72
29 + 34 = 63,29 + 34,29,0,34,63
78 - 23 = 55,78 - 23,78,1,23,55
